jd,a,e,i,aop,raan,TA,raan_dot_moon,raan_dot_sun,raan_dot_3b,raan_dot_j2,raan_dot_total,aop_dot_moon,aop_dot_sun,aop_dot_3b,aop_dot_j2,aop_dot_total,La,Le,Li,Laop,Lraan,LTA
2457398.73052014,7151.21491598325,0.0159166949339614,98.590212498564,136.617116156679,106.806319470441,78.6121147335697,106.781797229306,106.781796717121,106.781797657982,106.808686356253,106.808687725791,142.406939289278,142.406940811136,142.406938015549,142.327043506063,142.327039436748,7151.25482761793,0.0159693426115416,98.6269211303819,136.597299179003,106.884200045256,78.6338584216534
2457398.73055289,7151.16352732118,0.0159151658531386,98.590243213784,136.591967906139,106.806341179689,78.8076703053465,106.781797230456,106.781796717645,106.781797659656,106.808719229196,106.808720600409,142.40693928586,142.406940809579,142.406938010575,142.326945830539,142.326941756249,7151.25482761793,0.0159693426115414,98.6269211303819,136.597299179002,106.884200045256,78.8042625432111
2457398.73058565,7151.11204869646,0.0159136888828068,98.5902739898021,136.566727129034,106.806363074907,79.0033020432912,106.781797231606,106.781796718169,106.781797661331,106.80875210214,106.808753475026,142.406939282443,142.406940808021,142.4069380056,142.326848155015,142.326844075751,7151.25482761792,0.0159693426115414,98.6269211303819,136.597299179002,106.884200045256,78.9746508368072
2457398.7306184,7151.06048199303,0.0159122642907358,98.5903048255103,136.5413957419,106.806385156425,79.1990080228728,106.781797232756,106.781796718693,106.781797663005,106.808784975083,106.808786349644,142.406939279025,142.406940806464,142.406938000625,142.326750479491,142.326746395252,7151.25482761792,0.0159693426115417,98.6269211303819,136.597299179002,106.884200045256,79.1450232954029
2457398.73065116,7151.00882909658,0.0159108923397441,98.5903357197989,136.515975672657,106.806407424561,79.3947863083346,106.781797233906,106.781796719217,106.781797664679,106.808817848027,106.808819224262,142.406939275608,142.406940804907,142.406937995651,142.326652803967,142.326648714753,7151.25482761793,0.0159693426115416,98.6269211303819,136.597299179003,106.884200045256,79.3153799121019
2457398.73068391,7150.95709189432,0.0159095732876628,98.5903666715569,136.490468860343,106.806429879632,79.5906349529549,106.781797235057,106.781796719741,106.781797666353,106.80885072097,106.80885209888,142.40693927219,142.40694080335,142.406937990676,142.326555128442,142.326551034254,7151.25482761793,0.0159693426115417,98.6269211303819,136.597299179003,106.884200045256,79.4857206801548
2457398.73071667,7150.90527227504,0.0159083073873097,98.5903976796717,136.464877254938,106.806452521943,79.7865519992241,106.781797236207,106.781796720265,106.781797668028,106.808883593914,106.808884973497,142.406939268773,142.406940801793,142.406937985701,142.326457452918,142.326453353755,7151.25482761792,0.0159693426115414,98.6269211303819,136.597299179002,106.884200045256,79.6560455929574
2457398.73074942,7150.85337212894,0.0159070948864602,98.5904287430292,136.439202817112,106.806475351795,79.9825354790969,106.781797237357,106.781796720789,106.781797669702,106.808916466857,106.808917848115,142.406939265355,142.406940800236,142.406937980726,142.326359777394,142.326355673256,7151.25482761792,0.0159693426115413,98.6269211303819,136.597299179001,106.884200045256,79.8263546440444
2457398.73078218,7150.80139334762,0.0159059360278182,98.590459860514,136.413447518008,106.806498369482,80.1785834142094,106.781797238507,106.781796721313,106.781797671376,106.808949339801,106.808950722733,142.406939261937,142.406940798679,142.406937975752,142.32626210187,142.326257992757,7151.25482761792,0.0159693426115414,98.6269211303819,136.597299179,106.884200045256,79.9966478270974
2457398.73081493,7150.749337824,0.0159048310489908,98.5904910310093,136.387613339014,106.80652157529,80.3746938161092,106.781797239657,106.781796721837,106.78179767305,106.808982212744,106.808983597351,142.40693925852,142.406940797122,142.406937970777,142.326164426346,142.326160312258,7151.25482761792,0.0159693426115413,98.6269211303819,136.597299179,106.884200045256,80.166925135943
2457398.73084769,7150.69720745221,0.0159037801824576,98.5905222533968,136.361702271517,106.8065449695,80.5708646864955,106.781797240808,106.781796722361,106.781797674725,106.809015085688,106.809016471969,142.406939255102,142.406940795564,142.406937965802,142.326066750821,142.326062631759,7151.25482761792,0.0159693426115413,98.6269211303819,136.597299179,106.884200045256,80.3371865645513
2457398.73088044,7150.64500412756,0.015902783655548,98.5905535265572,136.335716316693,106.806568552384,80.7670940174347,106.781797241958,106.781796722885,106.781797676399,106.809047958631,106.809049346586,142.406939251685,142.406940794007,142.406937960828,142.325969075297,142.32596495126,7151.25482761792,0.0159693426115413,98.6269211303819,136.597299179,106.884200045256,80.5074321070361
2457398.73091319,7150.59272974646,0.0159018416904149,98.5905848493697,136.309657485256,106.806592324209,80.963379791611,106.781797243108,106.781796723409,106.781797678073,106.809080831575,106.809082221204,142.406939248267,142.40694079245,142.406937955853,142.325871399773,142.325867270761,7151.25482761792,0.0159693426115412,98.6269211303819,136.597299179001,106.884200045256,80.6776617576548
2457398.73094595,7150.54038620632,0.0159009545040081,98.5906162207125,136.28352779722,106.806616285234,81.1597199825591,106.781797244258,106.781796723933,106.781797679747,106.809113704519,106.809115095822,142.406939244849,142.406940790893,142.406937950878,142.325773724249,142.325769590262,7151.25482761792,0.0159693426115413,98.6269211303819,136.597299179001,106.884200045256,80.8478755108111
2457398.7309787,7150.48797540554,0.0159001223080515,98.5906476394625,136.257329281677,106.806640435712,81.3561125548927,106.781797245408,106.781796724457,106.781797681422,106.809146577462,106.80914797044,142.406939241432,142.406940789336,142.406937945903,142.325676048724,142.325671909764,7151.25482761792,0.0159693426115413,98.6269211303819,136.597299179,106.884200045256,81.018073361051
2457398.73101146,7150.43549924334,0.0158993453090187,98.5906791044955,136.231063976519,106.806664775887,81.5525554645788,106.781797246558,106.781796724981,106.781797683096,106.809179450406,106.809180845058,142.406939238014,142.406940787779,142.406937940929,142.3255783732,142.325574229265,7151.25482761792,0.0159693426115414,98.6269211303819,136.597299178999,106.884200045256,81.1882553030623
2457398.73104421,7150.3829596198,0.01589862370811,98.5907106146862,136.204733928239,106.806689306,81.7490466591371,106.781797247709,106.781796725505,106.78179768477,106.809212323349,106.809213719675,142.406939234597,142.406940786222,142.406937935954,142.325480697676,142.325476548766,7151.25482761792,0.0159693426115414,98.6269211303819,136.597299179,106.884200045256,81.3584213316787
2457398.73107697,7150.33035843573,0.0158979577012299,98.5907421689084,136.178341191654,106.806714026282,81.9455840779167,106.781797248859,106.781796726029,106.781797686444,106.809245196293,106.809246594293,142.406939231179,142.406940784665,142.406937930979,142.325383022152,142.325378868267,7151.25482761792,0.0159693426115416,98.6269211303819,136.597299178999,106.884200045256,81.5285714418784
2457398.73110972,7150.27769759258,0.0158973474789664,98.5907737660348,136.151887829668,106.806738936957,82.1421656523358,106.781797250009,106.781796726553,106.781797688119,106.809278069236,106.809279468911,142.406939227762,142.406940783107,142.406937926005,142.325285346628,142.325281187768,7151.25482761792,0.0159693426115414,98.6269211303819,136.597299179,106.884200045256,81.6987056287813
2457398.73114248,7150.22497899242,0.0158967932265681,98.590805404937,136.125375913036,106.806764038245,82.3387893061139,106.781797251159,106.781796727078,106.781797689793,106.80931094218,106.809312343529,142.406939224344,142.40694078155,142.40693792103,142.325187671103,142.325183507269,7151.25482761792,0.0159693426115415,98.6269211303819,136.597299179,106.884200045256,81.8688238876526
2457398.73117523,7150.17220453784,0.0158962951239262,98.590837084486,136.098807520084,106.806789330356,82.5354529555531,106.781797252309,106.781796727602,106.781797691467,106.809343815123,106.809345218146,142.406939220926,142.406940779993,142.406937916055,142.325089995579,142.32508582677,7151.25482761792,0.0159693426115413,98.6269211303819,136.597299178999,106.884200045256,82.0389262139004
2457398.73120799,7150.11937613188,0.0158958533455517,98.5908688035516,136.072184736488,106.806814813495,82.7321545097596,106.78179725346,106.781796728126,106.781797693141,106.809376688067,106.809378092764,142.406939217509,142.406940778436,142.40693791108,142.324992320055,142.324988146271,7151.25482761792,0.0159693426115411,98.6269211303819,136.597299179,106.884200045256,82.2090126030751
2457398.73124074,7150.06649567797,0.0158954680605593,98.5909005610031,136.045509654999,106.806840487859,82.9288918709178,106.78179725461,106.78179672865,106.781797694816,106.80940956101,106.809410967382,142.406939214091,142.406940776879,142.406937906106,142.324894644531,142.324890465772,7151.25482761792,0.015969342611541,98.6269211303819,136.597299179001,106.884200045256,82.3790830508722
2457398.7312735,7150.01356507985,0.0158951394326466,98.5909323557086,136.018784375207,106.80686635364,83.1256629345284,106.78179725576,106.781796729174,106.78179769649,106.809442433954,106.809443842,142.406939210674,142.406940775322,142.406937901131,142.324796969007,142.324792785273,7151.25482761792,0.0159693426115412,98.6269211303819,136.597299179,106.884200045256,82.5491375531319
2457398.73130625,7149.96058624151,0.0158948676200789,98.5909641865359,135.992011003263,106.80689241102,83.3224655896826,106.78179725691,106.781796729698,106.781797698164,106.809475306897,106.809476716618,142.406939207256,142.406940773765,142.406937896156,142.324699293482,142.324695104774,7151.25482761792,0.0159693426115411,98.6269211303819,136.597299179001,106.884200045256,82.7191761058329
