jd,x,y,z,xdot,ydot,zdot,lx,ly,lz,lxdot,lydot,lzdot
2457398.73382836,453.696508837642,-4431.54894267179,-5606.52172220609,-2.34994155802557,5.37860844821433,-4.5930286314484,449.488281170138,-4416.3163715718,-5619.39847797441,-2.36181512722281,5.39067159847372,-4.57661975887043
2457398.73386111,447.044210700697,-4416.30828497388,-5619.49564321855,-2.35132125201609,5.39216164600042,-4.57578762480371,442.802400549618,-4401.04159956944,-5632.32587101024,-2.36318539034026,5.40421213973222,-4.55934083836045
2457398.73389387,440.388037499483,-4401.02934139995,-5632.42072022199,-2.35268034395161,5.40566595043091,-4.55850958268858,436.112671416311,-4385.72857696087,-5645.2043120321,-2.36453492325327,5.41770381179547,-4.54202472270293
2457398.73392662,433.728047539619,-4385.71225045155,-5645.29684863832,-2.35401882865024,5.41912126059111,-4.54119466619106,429.419152445029,-4370.37744219187,-5658.03369600459,-2.3658637201036,5.43114651158946,-4.52467157226884
2457398.73395937,427.064299141138,-4370.35715091506,-5658.12392434547,-2.35533670111059,5.43252747605578,-4.52384303660731,422.721902326904,-4354.98833399924,-5670.8139183465,-2.36717177521525,5.44454013652087,-4.5072815476585
2457398.73399213,420.396850637955,-4354.96418186029,-5670.90184367799,-2.35663395651159,5.4458844968893,-4.50645485543982,416.020979768873,-4339.56139140945,-5683.54487493141,-2.36845908309432,5.45788458447743,-4.4898548096999
2457398.73402488,413.72576037739,-4339.53348263912,-5683.63050342758,-2.35791059021221,5.4591922236458,-4.48903028439575,409.316443493163,-4324.09675373726,-5696.22646208839,-2.36972563842885,5.47117975382825,-4.47239151944699
2457398.73405764,407.05108671965,-4324.06519288414,-5696.30980084365,-2.35916659775127,5.4724505573693,-4.47156948538517,402.608352236778,-4308.59456058437,-5708.85857660261,-2.37097143608871,5.4844255434242,-4.45489183817809
2457398.73409039,400.372888037292,-4308.55945250719,-5708.93963363403,-2.36040197484724,5.48565939959399,-4.45407262051929,395.896764750981,-4293.05495183803,-5721.44111571596,-2.37219647112534,5.49762185259824,-4.43735592739417
2457398.73412315,393.69122271477,-4293.01640169809,-5721.51989996534,-2.36161671739797,5.49881865234421,-4.43653985210888,389.181739800785,-4277.47806766972,-5733.97397712771,-2.37340073877169,5.51076858116573,-4.4197839488172
2457398.7341559,387.006149147887,-4277.43618092312,-5734.05049846369,-2.36281082148048,5.51192821813469,-4.41897134266243,382.463336164437,-4261.86404853374,-5746.45705899508,-2.37458423444198,5.5238656294248,-4.4021760643885
2457398.73418866,380.317725743293,-4261.81893092374,-5746.53132821519,-2.36398428335074,5.5249879999707,-4.4013672548845,375.741612632902,-4246.21303516588,-5758.89025993392,-2.37574695373159,5.53691289815663,-4.38453243626707
2457398.73422141,373.626010918007,-4246.16479271517,-5758.96228876651,-2.36513709944345,5.5379979013481,-4.38372775167399,369.016628009358,-4230.52516858201,-5771.2734790193,-2.37688889241686,5.5499102886258,-4.36685322682793
2457398.73425417,366.931063098867,-4230.47390758497,-5771.34328012543,-2.3662692663718,5.55095782625357,-4.36605299612242,362.288441108679,-4214.80059007678,-5783.60661578609,-2.37801004645492,5.56285770258057,-4.34913859866048
2457398.73428692,360.232940722067,-4214.7464170917,-5783.67420276137,-2.36738078092722,5.56386767916463,-4.34834315151229,355.557110756923,-4199.03944122216,-5795.88957022962,-2.37911041198357,5.57575504225324,-4.33138871456684
2457398.73431968,353.531702232651,-4198.98246306354,-5795.95495760591,-2.36847164007918,5.57672736504979,-4.33059838131537,348.822695790824,-4183.24186386615,-5808.12224280622,-2.38018998532103,5.5886022103604,-4.31360373756018
2457398.73435243,346.827406083967,-4183.18218759681,-5808.18544605342,-2.36954184097495,5.58953678936871,-4.3128188491909,342.085255057282,-4167.40800013136,-5820.30453443386,-2.38124876296583,5.60139911010325,-4.29578383086309
2457398.73438518,340.120110737221,-4167.34573305472,-5820.36556996142,-2.37059138093935,5.6022958580722,-4.29500471898407,335.344847412847,-4151.53799241366,-5832.43634649273,-2.38228674159662,5.61414564516787,-4.27792915790591
2457398.73441794,333.409874660943,-4151.47324206589,-5832.49523165127,-2.37162025747452,5.61500447760239,-4.27715615472421,328.601531723217,-4135.6319833808,-5844.51758082579,-2.38330391807199,5.62684171972554,-4.26003988232511
2457398.73445069,326.696756330486,-4135.56485752294,-5844.5743339086,-2.3726284682597,5.62766255489282,-4.25927332062315,321.855366862725,-4119.69011597105,-5856.54813973943,-2.3843002894303,5.63948723843301,-4.24211616796161
2457398.73448345,319.980814227539,-4119.62072258121,-5856.60277998383,-2.37361601115098,5.6402699973685,-4.24135638107353,315.106411713832,-4103.71253339179,-5868.52792600395,-2.38527585288949,5.65208210643272,-4.22415817885918
2457398.7345162,313.262106839631,-4103.64098065727,-5868.58047359271,-2.37458288418104,5.65282671294595,-4.22340550064716,308.354725166616,-4087.69937911818,-5880.4568428542,-2.38623060584691,5.66462622935317,-4.20616607926275
2457398.73454896,306.540692659607,-4087.62577542757,-5880.50731891678,-2.37552908555897,5.66533261003338,-4.20542084409327,301.60036611827,-4071.65079689176,-5892.33479399013,-2.38716454587915,5.67711951330909,-4.18814003361679
